,Unnamed: 0,Unnamed: 0.1,trial_index,weekId,subjectId,expId,rt,small_amount,large_amount,later_delay,choice,date
229,22926,11,11,10,bkvnluqzwjwe,itc,2605.0,24.0,25.0,260.0,0,07/13/2020
230,22928,15,15,10,bkvnluqzwjwe,itc,7715.0,77.0,80.0,39.0,0,07/13/2020
231,22929,17,17,10,bkvnluqzwjwe,itc,3148.0,82.0,85.0,229.0,0,07/13/2020
232,22930,19,19,10,bkvnluqzwjwe,itc,4489.0,29.0,30.0,86.0,0,07/13/2020
233,22931,21,21,10,bkvnluqzwjwe,itc,2000.0,34.0,85.0,250.0,1,07/13/2020
234,22932,23,23,10,bkvnluqzwjwe,itc,3234.0,23.0,25.0,87.0,0,07/13/2020
235,22933,25,25,10,bkvnluqzwjwe,itc,1674.0,32.0,75.0,84.0,1,07/13/2020
236,22934,27,27,10,bkvnluqzwjwe,itc,2297.0,10.0,35.0,10.0,1,07/13/2020
237,22935,29,29,10,bkvnluqzwjwe,itc,3129.0,52.0,55.0,144.0,0,07/13/2020
238,22936,31,31,10,bkvnluqzwjwe,itc,2269.0,23.0,35.0,87.0,1,07/13/2020
239,22937,33,33,10,bkvnluqzwjwe,itc,3875.0,72.0,75.0,104.0,0,07/13/2020
240,22938,35,35,10,bkvnluqzwjwe,itc,1434.0,20.0,60.0,125.0,1,07/13/2020
241,22939,37,37,10,bkvnluqzwjwe,itc,2730.0,50.0,85.0,7.0,1,07/13/2020
242,22940,39,39,10,bkvnluqzwjwe,itc,1649.0,64.0,80.0,100.0,1,07/13/2020
243,22941,41,41,10,bkvnluqzwjwe,itc,1711.0,30.0,60.0,10.0,1,07/13/2020
244,22942,43,43,10,bkvnluqzwjwe,itc,1817.0,8.0,50.0,128.0,1,07/13/2020
245,22943,45,45,10,bkvnluqzwjwe,itc,2542.0,49.0,50.0,127.0,0,07/13/2020
246,22944,47,47,10,bkvnluqzwjwe,itc,1482.0,20.0,55.0,7.0,1,07/13/2020
247,22945,49,49,10,bkvnluqzwjwe,itc,1557.0,25.0,75.0,8.0,1,07/13/2020
248,22946,51,51,10,bkvnluqzwjwe,itc,2099.0,11.0,30.0,108.0,1,07/13/2020
249,22947,53,53,10,bkvnluqzwjwe,itc,2453.0,39.0,50.0,47.0,1,07/13/2020
250,22948,55,55,10,bkvnluqzwjwe,itc,4536.0,50.0,55.0,40.0,1,07/13/2020
251,22949,57,57,10,bkvnluqzwjwe,itc,8910.0,59.0,60.0,17.0,0,07/13/2020
252,25272,5,5,11,bkvnluqzwjwe,itc,9403.0,8.0,50.0,128.0,1,07/13/2020
253,25273,7,7,11,bkvnluqzwjwe,itc,4230.0,24.0,25.0,104.0,0,07/13/2020
254,25274,9,9,11,bkvnluqzwjwe,itc,3506.0,20.0,60.0,125.0,1,07/13/2020
255,25275,11,11,11,bkvnluqzwjwe,itc,5574.0,24.0,25.0,260.0,0,07/13/2020
256,25276,13,13,11,bkvnluqzwjwe,itc,1693.0,10.0,35.0,61.0,1,07/13/2020
257,25277,15,15,11,bkvnluqzwjwe,itc,7844.0,46.0,50.0,87.0,0,07/13/2020
258,25278,17,17,11,bkvnluqzwjwe,itc,3982.0,31.0,35.0,129.0,0,07/13/2020
259,25279,19,19,11,bkvnluqzwjwe,itc,2092.0,20.0,85.0,13.0,1,07/13/2020
260,25280,21,21,11,bkvnluqzwjwe,itc,3957.0,52.0,55.0,144.0,0,07/13/2020
261,25281,23,23,11,bkvnluqzwjwe,itc,2457.0,32.0,75.0,84.0,1,07/13/2020
262,25282,25,25,11,bkvnluqzwjwe,itc,1933.0,15.0,30.0,10.0,1,07/13/2020
